rdf	http://www.w3.org/1999/02/22-rdf-syntax-ns#
yago	http://yago-knowledge.org/resource/
foaf	http://xmlns.com/foaf/0.1/
rdfs	http://www.w3.org/2000/01/rdf-schema#
dbo	http://dbpedia.org/ontology/
dbp	http://dbpedia.org/property/
gr	http://purl.org/goodrelations/v1#
dc	http://purl.org/dc/elements/1.1/
spacerel	http://data.ordnancesurvey.co.uk/ontology/spatialrelations/
owl	http://www.w3.org/2002/07/owl#
skos	http://www.w3.org/2004/02/skos/core#
geo	http://www.opengis.net/ont/geosparql#
dcat	http://www.w3.org/ns/dcat#
xsd	http://www.w3.org/2001/XMLSchema#
ont	http://purl.org/net/ns/ontology-annot#
xtypes	http://purl.org/xtypes/
qb	http://purl.org/linked-data/cube#
sioc	http://rdfs.org/sioc/ns#
onto	http://www.ontotext.com/
org	http://www.w3.org/ns/org#
madsrdf	http://www.loc.gov/mads/rdf/v1#
dbpedia	http://dbpedia.org/resource/
prov	http://www.w3.org/ns/prov#
rss	http://purl.org/rss/1.0/
gldp	http://www.w3.org/ns/people#
bflc	http://id.loc.gov/ontologies/bflc/
dcterms	http://purl.org/dc/terms/
commerce	http://search.yahoo.com/searchmonkey/commerce/
wd	http://www.wikidata.org/entity/
sd	http://www.w3.org/ns/sparql-service-description#
bibo	http://purl.org/ontology/bibo/
void	http://rdfs.org/ns/void#
event	http://purl.org/NET/c4dm/event.owl#
geonames	http://www.geonames.org/ontology#
fb	http://rdf.freebase.com/ns/
dct	http://purl.org/dc/terms/
sc	http://purl.org/science/owl/sciencecommons/
dcmit	http://purl.org/dc/dcmitype/
md	http://www.w3.org/ns/md#
prog	http://purl.org/prog/
cc	http://creativecommons.org/ns#
doap	http://usefulinc.com/ns/doap#
vcard	http://www.w3.org/2006/vcard/ns#
swrc	http://swrc.ontoware.org/ontology#
pto	http://www.productontology.org/id/
rr	http://www.w3.org/ns/r2rml#
schema	http://schema.org/
ma	http://www.w3.org/ns/ma-ont#
dbpprop	http://dbpedia.org/property/
vann	http://purl.org/vocab/vann/
ex	http://example.org/
tl	http://purl.org/NET/c4dm/timeline.owl#
akt	http://www.aktors.org/ontology/portal#
content	http://purl.org/rss/1.0/modules/content/
http	http://www.w3.org/2011/http#
swc	http://data.semanticweb.org/ns/swc/ontology#
xmp	http://ns.adobe.com/xap/1.0/
fn	http://www.w3.org/2005/xpath-functions#
dbr	http://dbpedia.org/resource/
ical	http://www.w3.org/2002/12/cal/ical#
marcrel	http://id.loc.gov/vocabulary/relators/
vs	http://www.w3.org/2003/06/sw-vocab-status/ns#
aiiso	http://purl.org/vocab/aiiso/schema#
wot	http://xmlns.com/wot/0.1/
xhtml	http://www.w3.org/1999/xhtml#
oo	http://purl.org/openorg/
earl	http://www.w3.org/ns/earl#
cyc	http://sw.opencyc.org/concept/
gen	http://purl.org/gen/0.1#
nie	http://www.semanticdesktop.org/ontologies/2007/01/19/nie#
cv	http://rdfs.org/resume-rdf/
ad	http://schemas.talis.com/2005/address/schema#
rel	http://purl.org/vocab/relationship/
factbook	http://wifo5-04.informatik.uni-mannheim.de/factbook/ns#
sdmxdim	http://purl.org/linked-data/sdmx/2009/dimension#
bio	http://purl.org/vocab/bio/0.1/
dc11	http://purl.org/dc/elements/1.1/
mo	http://purl.org/ontology/mo/
test2	http://this.invalid/test2#
bill	http://www.rdfabout.com/rdf/schema/usbill/
d2rq	http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#
xhv	http://www.w3.org/1999/xhtml/vocab#
oa	http://www.w3.org/ns/oa#
rdfg	http://www.w3.org/2004/03/trix/rdfg-1/
og	http://ogp.me/ns#
pc	http://purl.org/procurement/public-contracts#
air	http://dig.csail.mit.edu/TAMI/2007/amord/air#
daia	http://purl.org/ontology/daia/
co	http://rhizomik.net/ontologies/copyrightonto.owl#
log	http://www.w3.org/2000/10/swap/log#
photoshop	http://ns.adobe.com/photoshop/1.0/
media	http://search.yahoo.com/searchmonkey/media/
cs	http://purl.org/vocab/changeset/schema#
tzont	http://www.w3.org/2006/timezone#
book	http://purl.org/NET/book/vocab#
ctag	http://commontag.org/ns#
crm	http://www.cidoc-crm.org/cidoc-crm/
biblio	http://purl.org/net/biblio#
admin	http://webns.net/mvcb/
con	http://www.w3.org/2000/10/swap/pim/contact#
